timestamp,productName,Brand,jumia_price,jumia_oldPrice,jumia_discount,jumia_rating,jumia_verifiedRatings,jumia_stock,Key_Features
2024-10-03T20:35:38.695Z,Samsung Galaxy A05,Samsung,"KSh 11,560","KSh 12,500",8%,4.3 out of 5,(51 verified ratings),"{'inStock': True, 'stockStatus': '87 items left', 'unitsLeft': 87}","{'Display:\xa06.7""\xa0PLS LCD': True, 'Resolution: 720 x 1600 (HD+)': True, 'Memory: 64GB + 4GB RAM': True, 'OS: Android': True, 'Rear Camera: 50MP + 2MP': True, 'Front Camera: 8MP': True, 'Battery: 5000mAh': True}"
2024-10-03T20:35:38.695Z,Samsung Galaxy A05,Samsung,"KSh 12,930","KSh 14,000",8%,4.7 out of 5,(7 verified ratings),"{'inStock': True, 'stockStatus': 'In stock', 'unitsLeft': None}","{'6.7 inches IPS LCD display': True, 'Qualcomm Snapdragon 662 chipset': True, '4GB of RAM 128GB of internal storage': True, '5,000 mAh non-removable battery': True, '15W fast charging support': True, '4G LTE network support': True}"
2024-10-03T20:35:38.695Z,Samsung Fit 3 Smart Watch - Black(1 YR WRTY),Samsung,"KSh 10,600","KSh 21,200",50%,5 out of 5,(1 verified rating),"{'inStock': True, 'stockStatus': '9 units left', 'unitsLeft': 9}","{'Display: 1.6"" AMOLED Display. 256x402 Resolution. 302 PPI.': True, '100+ Exercise Modes,': True, '100+ Watch faces.': True, 'Sleep Coaching.': True, 'Internation Model.': True}"
2024-10-03T20:35:38.695Z,Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black,Samsung,"KSh 8,900","KSh 11,000",19%,4.5 out of 5,(13 verified ratings),"{'inStock': True, 'stockStatus': 'In stock', 'unitsLeft': None}","{""6.5'' display"": True, 'Android 12': True, 'Octa-core processor': True, '13MP Rear camera and 2MP front camera': True, '32GB ROM 3GB RAM': True, '5000mAh Battery': True}"
2024-10-03T20:35:38.695Z,Samsung Buds 2 Pro True Wireless Bluetooth Earbuds - Black(1 YR WRTY),Samsung,"KSh 17,999","KSh 35,998",50%,0 out of 5,(No ratings available),"{'inStock': True, 'stockStatus': '8 units left', 'unitsLeft': 8}","{'THEY SAY “HOLA,” YOU HEAR “HELLO”: Now you can communicate freely with someone in another language; Use the Interpreter feature on your Galaxy phone to hear real-time translations through your Galaxy Buds during face-to-face conversations¹': True, 'PHONE TO EAR, TRANSLATIONS YOU HEAR: Phoning a relative back home or calling in reservations while traveling , break down language barriers w/ Galaxy Buds & Live Translate; Using the Samsung Phone app, hear real-time translations through your Buds¹': True, 'EVERY MOMENT SOUNDS EPIC: Studio quality sound isn’t just for the pros; Feel every note like you’re there with Galaxy Buds2 Pro² and get a next-level listening experience, whether you’re rocking out to your playlist or listening to a podcast': True, 'HEAR ONLY WHAT YOU WANT: Intelligent Active Noise Cancellation³ quiets even the loudest outside sounds; Tune in to what matters most without being bothered by distracting sounds around you': True, 'SOUND NEVER FELT SO RIGHT: Pop ‘em in and forget they’re there; Galaxy Buds2 Pro are designed to be even more comfortable than before and fit securely no matter what you’re doing, whether you’re working or working out': True, 'LIKE 3D FOR YOUR EARS: Amplify what you like; Minimize what you don’t; Enhanced 360-degree audio² brings out the tones you love from every angle for a personalized surround sound experience every time you pop them in': True}"
2024-10-03T20:35:38.695Z,Samsung Galaxy A05s,Samsung,"KSh 13,500","KSh 15,000",10%,4.2 out of 5,(15 verified ratings),"{'inStock': True, 'stockStatus': 'In stock', 'unitsLeft': None}","{'Display: 6.7” FHD+ PLS LCD Display': True, 'Memory:128GB + 4GB\xa0RAM': True, 'Processor:\xa02.4 GHz, 1.9 GHz': True, 'CPU Type:\xa0Octa-Core': True, 'Rear Camera:\xa050.0 MP + 2.0 MP + 2.0 MP': True, 'Front Camera:\xa013.0 MP': True, 'Battery Capacity: 5000mAh': True}"
2024-10-03T20:35:38.695Z,Samsung 25w Adapter - Black(1 YR WRTY),Samsung,"KSh 3,900","KSh 7,800",50%,0 out of 5,(No ratings available),"{'inStock': True, 'stockStatus': '8 units left', 'unitsLeft': 8}","{'Super Fast Charging to stay ready': True, 'Compatible with various devices': True, 'Enjoy the flexibility of the USB Type-C': True}"
2024-10-03T20:35:38.695Z,Samsung Three Pin 45w Adapter - Black(1 YR WRTY),Samsung,"KSh 6,700","KSh 13,400",50%,0 out of 5,(No ratings available),"{'inStock': True, 'stockStatus': '8 units left', 'unitsLeft': 8}","{'Universal Compatibility': True, 'Safe and stable can be fast and powerful too': True, 'Super-fast charging for a wide range of devices.': True}"
2024-10-03T20:35:38.695Z,Samsung Smartwatch 6 43mm - Black(1 YR WRTY),Samsung,"KSh 38,600","KSh 77,200",50%,0 out of 5,(No ratings available),"{'inStock': True, 'stockStatus': '7 units left', 'unitsLeft': 7}","{'A SMART WATCH WITH CLASSIC STYLE: Galaxy Watch6 Classic features a timeless, iconic look and a bezel that just clicks with your style; It not only looks great, but it also rotates to give you easy access to all your apps': True, 'KEEP YOUR GOALS ON TRACK: Workout to your full potential with fitness tracking*; Get insights on duration, distance, calories burned and more; Watch recognizes activities from running to swimming and tracks over 90 other exercises': True, 'GET IN THE ZONE: Zone in on the results you want with personalized heart rate zones; Watch scans your health data to provide HR zones tailored just for you; Target your preferred intensity to maintain the heart rate needed to achieve your goals': True, 'SLEEP COACH ON YOUR WRIST: Get the insights to develop better sleep habits with Advanced Sleep Coaching;* Use Watch to plan your bedtime, detect snoring\xa0and understand and track your sleep stages (awake, light, deep, REM)': True, 'ALWAYS-ON HEART MONITOR: Get ahead of your heart health with heart monitoring; Watch continually scans your heart rate to detect an irregular rhythm that might be A-fib — a heart-related abnormality that can lead to serious complications': True, 'KNOW YOUR BODY INSIDE & OUT: Stay in the know about your body with the advanced BIA sensor; Use your Watch to get readings on body fat, skeletal muscle, body water, Body Mass Index (BMI) and more.': True, 'KEEP CONNECTED ON THE GO: Your Watch syncs with your other Galaxy devices seamlessly so you can play your favorite music, control your smartphone camera, make calls, text and do more from anywhere.': True}"
2024-10-03T20:35:38.695Z,Samsung Galaxy Watch 4 46mm - Black(1 YR WRTY),Samsung,"KSh 23,500","KSh 47,000",50%,0 out of 5,(No ratings available),"{'inStock': True, 'stockStatus': '3 units left', 'unitsLeft': 3}","{'Only compatible with Android Smartphones (Runs on Wear OS Powered by Samsung)': True, 'Bioelectrical Impedance Analysis Sensor for Body Composition Analysis, Optical Heart Rate Sensor.': True, ""Health Monitoring features such as Advanced Sleep Analysis & Women's Health."": True, 'Enhanced Fitness tracking lets you track 90+ workouts; Enriched App availability and connectivity with Wear OS, Powered by Samsung. Typical Usage Time (Hours): up to 40 Hours.': True, 'Connectivity Technology: USB': True}"
