Scrape Date,Scrape Time,Product Name,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,SKU,Brands,Cover Camera,Operating System,Internal Memory,Chipset,Main Camera,Selfie Camera,Bluetooth,Colorways,Tags,This item,Rear Camera,Inner Camera,Outer Camera,Storage,Camera,Selfie,NB,Front Camera,Length,Type,Current,Color,Material,Weight,Size,g>y,Primary Camera,Rear camera,Selfie camera,Operating system,Colour,Colours,Network,Display Size,Resolution,Secondary Camera,Ports,Screen,Refresh Rate,Fingerprint,Price 1,Price 2
2024-09-28,21:06:45,Samsung Galaxy Z Flip 6,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4000mAh, 25W",50 MP + 12 MP,10 MP,"6.7 inch, AMOLED, 120Hz","3.9 inch, AMOLED",Qualcomm Snapdragon 8 Gen 3,"Dual SIM, 3G, 4G, 5G, VoLTE, Wi-Fi","Yellow, Silver Shadow, Mint, Blue, Black, White, Peach","Android 14, One UI 6.1.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 108,000","KSh 103,000"
2024-09-28,21:06:54,Samsung Galaxy Z Fold 6,0 Reviews,IN STOCK,12GB,"256GB, 512GB, 1TB","4,4000mAh",50MP + 10MP + 12MP,4MP,7.6 inches Super AMOLED display (unfolded); 6.3-inches when folded,,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Navy, Silver Shadow, Pink, Black, White",,Warranty,UAE / Dubai,N/A,Samsung,10MP,"Android 14, One UI 6.1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 162,000","KSh 198,000"
2024-09-28,21:07:01,Samsung Galaxy M55,0 Reviews,IN STOCK,8GB,,"5000 mAh, non-removable, 45W",,,,,,5G,,"Android 14, One UI 6.1",,,,Samsung,,,256GB,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),50MP + 8MP + 2MP,50MP,"2, A2DP, LE","Dark Blue, Light Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 45,000","KSh 41,000"
2024-09-28,21:07:08,Samsung Galaxy A35 5G,,IN STOCK,8GB,256GB,"5,000 mAh",50MP + 8MP + 5MP,13MP,"6.6 inches, 120 Hz",,Exynos 1380 SoC,"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Iceblue, Lilac, Navy","Android 14, One UI 6.1,",Warranty,East Africa,SM-A356ELBMAFB,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 32,000","KSh 40,500"
2024-09-28,21:07:15,Samsung Galaxy A55 5G,0 Reviews,IN STOCK,8GB,"128 GB, 256GB","5,000 mAh",50 MP + 12MP + 5 MP,32MP,"6 inches, 120 Hz",,Exynos 1480 SoC,"Dual SIM, 2G, 3G, 4G, Wi-Fi","Iceblue, Lilac, Navy, Lemon","Android 14, One UI 6.1,",Warranty,East Africa,SM-A556ELBVAFB,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 42,000","KSh 46,500"
2024-09-28,21:07:22,Samsung Galaxy A25 5G,0 Reviews,IN STOCK,8GB,256GB,"5,000 mAh, 25W",50MP + 8MP + 2MP,13 MP,6.5 inch,,Octa-core Exynos 1280 (5 nm),"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Brave Black, Personality Yellow, Fantasy Blue, Optimistic Blue","Android 14, One UI 6",,,SM-A256EZKHAFC,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 27,500","KSh 30,500"
2024-09-28,21:07:29,Samsung Galaxy M15 4G,0 Reviews,IN STOCK,6,,"6,000mAh, 25W",,,6.5-inch Super AMOLED,,MediaTek Helio G99 SoC,4G,,,,,,Samsung,,Android 14-based One UI 6,128,,50MP + 5MP + 2MP,13MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 26,000","KSh 25,000"
2024-09-28,21:07:36,Samsung Galaxy F15 5G,0 Reviews,IN STOCK,4/6GB,,"6000mAh, 25W",,,"6 inches, Super AMOLED",,"Octa-core, Mediatek Dimensity 6100+ (6 nm)",5G,,"Android 14, One UI 6",,,,Samsung,,,128GB,,50MP+5MP+2MP,"13 MP, f/2.0, (wide)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 26,500","KSh 23,500"
2024-09-28,21:07:43,Samsung Galaxy S24 5G,0 Reviews,IN STOCK,8GB,128GB / 256GB / 512GB/1TB,"4,000 mAh",50MP + 10MP + 12MP,12 MP (wide),"6.2 inch + Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",,Qualcomm Snapdragon 8 Gen 3 (4nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",Warranty,UAE / Dubai,SM-S921,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 95,500","KSh 87,000"
2024-09-28,21:07:50,Samsung Galaxy S24 Plus,0 Reviews,IN STOCK,12GB,256 / 512GB,4900mAh,50 MP + 10 MP + 12 MP,12 MP,"6.7 inch, AMOLED, 120Hz",,Snapdragon 8 Gen 3 / Exynos 2400,"Dual sim, 2G, 3G, 4G, 5G","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",,East Africa,SM-S926,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 107,000","KSh 102,000"
