,Product Name,Brands,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,Price 1,Price 2,SKU
0,Samsung Galaxy Z Flip 6,Samsung,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4000mAh, 25W",50 MP + 12 MP,10 MP,"6.7 inch, AMOLED, 120Hz","3.9 inch, AMOLED",Qualcomm Snapdragon 8 Gen 3,"Dual SIM, 3G, 4G, 5G, VoLTE, Wi-Fi","Yellow, Silver Shadow, Mint, Blue, Black, White, Peach","Android 14, One UI 6.1.1",Warranty,UAE / Dubai,"KSh 108,000","KSh 103,000",N/A
1,Samsung Galaxy Z Fold 6,Samsung,0 Reviews,IN STOCK,12GB,"256GB, 512GB, 1TB","4,4000mAh",50MP + 10MP + 12MP,4MP,7.6 inches Super AMOLED display (unfolded); 6.3-inches when folded,,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Navy, Silver Shadow, Pink, Black, White",,Warranty,UAE / Dubai,"KSh 162,500","KSh 205,000",N/A
2,Samsung Galaxy M55,Samsung,0 Reviews,IN STOCK,8GB,,"5000 mAh, non-removable, 45W",,,,,,5G,,"Android 14, One UI 6.1",,,"KSh 55,000","KSh 45,000",
3,Samsung Galaxy A35 5G,Samsung,,IN STOCK,8GB,256GB,"5,000 mAh",50MP + 8MP + 5MP,13MP,"6.6 inches, 120 Hz",,Exynos 1380 SoC,"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Iceblue, Lilac, Navy","Android 14, One UI 6.1,",Warranty,East Africa,"KSh 32,000","KSh 40,500",SM-A356ELBMAFB
4,Samsung Galaxy A55 5G,Samsung,0 Reviews,IN STOCK,8GB,"128 GB, 256GB","5,000 mAh",50 MP + 12MP + 5 MP,32MP,"6 inches, 120 Hz",,Exynos 1480 SoC,"Dual SIM, 2G, 3G, 4G, Wi-Fi","Iceblue, Lilac, Navy, Lemon","Android 14, One UI 6.1,",Warranty,East Africa,"KSh 42,000","KSh 46,500",SM-A556ELBVAFB
5,Samsung Galaxy A25 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,"5,000 mAh, 25W",50MP + 8MP + 2MP,13 MP,6.5 inch,,Octa-core Exynos 1280 (5 nm),"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Brave Black, Personality Yellow, Fantasy Blue, Optimistic Blue","Android 14, One UI 6",,,"KSh 27,500","KSh 30,500",SM-A256EZKHAFC
6,Samsung Galaxy M15 4G,Samsung,0 Reviews,IN STOCK,6,,"6,000mAh, 25W",,,6.5-inch Super AMOLED,,MediaTek Helio G99 SoC,4G,,,,,"KSh 26,000","KSh 25,000",
7,Samsung Galaxy F15 5G,Samsung,0 Reviews,IN STOCK,4/6GB,,"6000mAh, 25W",,,"6 inches, Super AMOLED",,"Octa-core, Mediatek Dimensity 6100+ (6 nm)",5G,,"Android 14, One UI 6",,,"KSh 26,500","KSh 23,500",
8,Samsung Galaxy S24 5G,Samsung,0 Reviews,IN STOCK,8GB,128GB / 256GB / 512GB/1TB,"4,000 mAh",50MP + 10MP + 12MP,12 MP (wide),"6.2 inch + Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",,Qualcomm Snapdragon 8 Gen 3 (4nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",Warranty,UAE / Dubai,"KSh 95,500","KSh 87,000",SM-S921
9,Samsung Galaxy S24 Plus,Samsung,0 Reviews,IN STOCK,12GB,256 / 512GB,4900mAh,50 MP + 10 MP + 12 MP,12 MP,"6.7 inch, AMOLED, 120Hz",,Snapdragon 8 Gen 3 / Exynos 2400,"Dual sim, 2G, 3G, 4G, 5G","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",,East Africa,"KSh 107,000","KSh 102,000",SM-S926
